親見出し（日本語）	同綴見出し	親見出し（PMCP）	子見出し（日本語）	子見出し（PMCP）	品詞	語釈	品詞欄の直後に改行を強制
ail		ail			名词	艾尔（民族名、国家名）
at		at			名词连词	和	
auc		auc			名词	全部，所有
belpic	*	belpic			名词	玩儿，游戏	
belpic	*	belpic			动词	玩儿，做游戏	
belpic	*	belpic	belpicit	belpicit	及物动词	玩儿	
cene		cene			前置助动词	能，会，可以，可能	
cet	*	cet			后缀	(表示多数)
cet	*	cet			前置助动词	非常	
cet	*	cet	cetit	cetit	及物动词	增加	
cet	*	cet	cetleti	cetleti	形容词	许多的，大量的	
ci		ci			名词	它，他，她
co	*	co			名词	你	
co	*	co	coleti	coleti	形容词	你的	
cul		cul			名词	方法，工具，方式	
delu		delu			前置助动词	需要	
e		e			特殊动词	是	
et	*	et			名词	其他，另外	
et	*	et	etleti	etleti	形容词	其他的，别的，另外的	
it		it			及物动词	做	
jo		jo			介词	于，与，在，到，从	
julo		julo			名词	东西，物品	
ka	*¹	ka			名词	这	
ka	*¹	ka	kaleti	kaleti	形容词	这个	
ka	*²	ka	kaleti	kaleti	数词	2，两，二　　Note: only used when it directly follows another numeral	
kije		kije			后置助动词	(indicates the direction of an action towards the subject)	
kile		kile			动词	来	
kin	*	kin			名词	值，数量，比分	
kin	*	kin			动词	(in the form 〖kin jo [1]〗) the number amounts to 〖[1]〗, the number reaches 〖[1]〗	
kin	*	kin	kinpit	kinpit	及物动词	计数，
lata		lata			名词	人	
lauzait		lauzait			及物动词	制造	
leti		leti			特殊连词	的	
letit		letit			及物动词	拿，拿到，获得	
luc	¹	luc	lucit	LUCIT	及物动词	用，使用　　　　　　　　　　　　　　Note: this word is hardly ever used as an intransitive verb.	
luc	²	luc			动词	to end　　　　　　　　　　　Note: this word is never used as a transitive verb.	
lucuc	*	lucuc			动词	结束	
lucuc	*	lucuc	lucucit	lucucit	及物动词	结束	
lukup	*	lukup			名词	语言	
lukup	*	lukup			动词	讲话，谈话，讨论	
lukup	*	lukup	lukupit	lukupit	及物动词	说，讲，告诉	
lukup	*	lukup	lukup-lukup	lukup-lukup	名词	议论	
mak	*	mak			前置助动词	再次，再一次，重新	
mak	*	mak	makleti	makleti	数词	2，两，二	
mak	*	mak	mak-mak	mak-mak	前置助动词	反复{+动词}	
mi		mi			名词	我	
mol	*	mol			特殊动词	在，存在<br>Note: this word is never followed by 〖leti〗 .	
mol	*	mol			后置助动词	be <i>do</i>ing<br>Note: this word is rarely used in Ai’r	
molip	*	molip			特殊动词	不在，不存在	
molip	*	molip	molipleti	molipleti	形容词	不存在的	
nip	*	nip			动词	消失，不见了	
nip	*	nip			前置助动词	不{+动词}，没{+动词}	
nip	*	nip			感叹词	不是，不对	
nip	*	nip	nipit	nipit	及物动词	to refuse <i>something</i>, to ignore <i>something</i>, to lose <i>something</i>, to remove <i>something</i>, to discard <i>something</i>	
nip	*	nip	nipleti	nipleti	数词	0，零	
nole		nole			名词	time (in the temporal sense), occasion, (when used with a numeral, in the form 〖[1] nole〗) 〖[1]〗 times (as in ‘how many times’)	
nuxep	*	nuxep			形容词	小的	
nuxep	*	nuxep			名词	Nooshep Island 【小島】 (place name)	
nuxep	*	nuxep	nuxep-nuxep	NUXEP-NUXEP	形容词	轻微的	
o		o			名词连词	or	
pac	*	pac			前置助动词	start to <i>do</i>	
pac	*	pac			动词	to begin, to start	
pac	*	pac			名词	beginning, start	
pan	*	pan			前置助动词	alone, by oneself, isolatedly	
pan	*	pan	panit	panit	及物动词	to unite <i>something</i>, to unify <i>something</i>	
pan	*	pan	panleti	panleti	数词	1，一	
pan	*	pan	panleti	panleti	形容词	same, identical	
panka	*	panka			动词	to be good	
panka	*	panka			前置助动词	aptly, successfully, well	
panka	*	panka	pankaleti	pankaleti	形容词	好的	
pemecepe	*	pemecepe			名词	东诸岛共和国联合	
pemecepe	*	pemecepe	pemecepe lukup	pemecepe lukup	名词	东岛通用语	
pemecepe	*	pemecepe	pemecepe lujot	pemecepe lujot	名词	Pemecepe alphabet	
pi		pi			句连词	而，然后，但是	
poto		poto			名词	地方，位置，地点	
tude	*	tude			动词	to move	
tude	*	tude			后置助动词	(indicates the direction of an action away from the subject)	
tude	*	tude	tudeit	tudeit	及物动词	to move <i>something</i>, to transfer <i>something</i>, to carry <i>something</i>	
xel	*	xel	xelit	XELIT	及物动词	看，看见，看到	
xel	*	xel	xelit tude	XELIT TUDE	及物动词	检查 <i>something</i>	
xel	*	xel	xelit kije	XELIT KIJE	及物动词	发现 <i>something</i>	
xep	*	xep			形容词	large	
xep	*	xep	xep u	xep u	名词	xenonen-u (name of a letter in the Lipāshe alphabet)	
xep	*	xep	xepit	XEPIT	动词	扩大，扩展	
xep	*	xep	xep-xep	XEP-XEP	形容词	巨大的, enormous, tremendous	
